title;prize;ratings;stars;publish_date;authors
Dinero: domina el juego: Como alcanzar la libertad financiera en 7 pasos;12,34;2;4,5;6 marzo 2018;Tony Robbins y Juan Manuel Salmeron Arjona
Invirtiendo en calidad: Claves para invertir a largo plazo en las mejores empresas;11,39;1;4;13 marzo 2018;Lawrence A. Cunningham y Torkell T. Eide
Crea animaciones digitales;7,59;0;NA;10 octubre 2017;Derek Breen y Nuria Gimenez Lorang
SEO semantico;3,25;0;NA;18 marzo 2018;Juanjo Ramos
Visibilidad Online - Marketing Digital 2018 - Crear Web con WordPress, Posicionamiento SEO, Google Analytics, Publicidad Online, Facebook y Usabilidad: ... para Empresas y Emprendedores en 2018;0,00;16;4,8;10 enero 2017;Bernat Riera
LIKES Y SEGUIDORES EN FACEBOOK METODO 2015 COMPROBADO;0,00;0;NA;22 agosto 2015;Systems Security
Aprende SQL en un fin de semana: El curso definitivo para crear y consultar bases de datos (Aprende en un fin de semana no 1);0,00;18;4,6;10 enero 2017;Antonio Padial Solier
Imperio Freelance: Guia practica para disenadores y creativos freelance que quieren elegir a sus clientes (Diseno grafico, Marketing y Emprendedores);0,00;116;4,8;11 julio 2017;Laura Lopez Fernandez y Ana Sainz
Bolsa para Dummies;9,49;103;4;7 noviembre 2013;Josef Ajram
Invertir en bolsa con sentido comun;7,59;0;NA;27 febrero 2018;Jose Antonio Madrigal Hornos
El pequeno libro del day trading;7,59;21;4,7;16 enero 2018;Borja Munoz Cuesta y Borja Munoz Cuesta
Day trading y operativa bursatil para Dummies;9,49;35;3,8;27 octubre 2015;Francisca Serrano Ruiz
En busca de Arduino: Un viaje por la electronica;0,00;18;4,9;15 enero 2018;Rufian en la Red
El pequeno libro que genera riqueza: La formula definitiva para encontrar inversiones excelentes;9,49;15;4,5;9 febrero 2016;Pat Dorsey y Pablo Martinez Bernal
APLICACIONES PRACTICAS CON EXCEL;8,44;0;NA;8 enero 2018;Johnny  Pacheco Contreras
La enciclopedia del community manager;8,54;0;NA;10 abril 2018;Manuel Moreno Molina
Como invertir en fondos de inversion con sentido comun: Nuevos imperativos para el inversor inteligente;14,24;9;3,8;10 octubre 2017;John C. Bogle y Carla Lopez Fatur
Day trading en una semana;4,74;96;3,7;NA;
Cadena de bloques: La guia para entender todo lo referente a la cadena de bloques, Bitcoin, criptomonedas, contratos inteligentes y el futuro del dinero.;0,00;3;3,2;NA;
El Libro Negro del Programador: Como conseguir una carrera de exito desarrollando software y como evitar los errores habituales - Segunda Edicion;0,00;102;3,9;20 febrero 2014;Rafael Gomez Blanes
Aprenda JavaScript sin dolor: El lenguaje de programacion mas utilizado en la web.;0,99;4;4,5;6 octubre 2015;Francisco Javier Arce Anguiano
El pequeno libro de los altos rendimientos con bajo riesgo: Liebres y tortugas en los mercados financieros;9,49;2;3,5;30 enero 2018;Pim Van Vliet y Jan de Koning
La Nube Y Ciber Seguridad: Guia Rapida;2,99;0;NA;17 octubre 2017;Marcia R.t. Pistorious y J. Hernando
Comunicacion efimera: De la cultura de la huella a la cultura del impacto;0,00;2;5;2 enero 2018;Montserrat Doval Avendano
La gran trampa: Por que los bancos centrales estan abonando el terreno para la proxima crisis;9,49;5;4,1;24 octubre 2017;Daniel Lacalle y Jorge Paredes
SEO. Claves esenciales (Social Media);11,39;32;4,2;2 marzo 2017;Aleyda Solis
Hacking Etico 101 - Como hackear profesionalmente en 21 dias o menos!: 2da Edicion. Revision 2018.;2,49;5;3,2;14 julio 2016;Karina Astudillo
Gestion practica de proyectos con Scrum: Desarrollo de software agil para el Scrum Master (Aprender a ser mejor gestor de proyectos no 1);0,00;61;4,3;15 mayo 2014;Antonio Martel
Gestion de Tareas con Kanban: Introduccion a la gestion visual del trabajo (Monster Guides no 2);3,15;20;3,9;4 abril 2015;Rafael Morales
MySQL;1,99;10;4,5;10 diciembre 2014;Juan Diego Gutierrez Gallardo
Escribir como experto sin saber nada: Metodo de emergencia: Para escribir sobre cualquier tema en tiempo record (Coleccion !Aprende rapido!);3,00;1;3;30 marzo 2017;Alex Voski
Claves de la Investigacion en redes sociales;8,95;7;4,8;3 marzo 2017;Silvia Barrera y Circulo Rojo
Claves de la Investigacion en redes sociales;8,95;7;4,8;3 marzo 2017;Silvia Barrera y Circulo Rojo
Internet del Dinero (The Internet of Money no 1);0,00;9;4,7;28 noviembre 2017;Andreas M. Antonopoulos y Francisco Javier Rojas Garcia
Excel 2016 Paso a Paso: Actualizacion Constante (MOBI + EPUB + PDF);2,99;2;3;25 julio 2015;Handz Valentin
Python Scapy Dot11: Programacion en Python para pentesters Wi-Fi;9,35;5;3,2;31 enero 2017;YAGO HANSEN @yadox
